Sat1,Sat2_1,Sat2_2
04-Apr-2018 14:47:00,18.0129276483153,69.5586515038414
04-Apr-2018 14:47:10,18.5064273423395,69.9622509251205
04-Apr-2018 14:47:20,18.9988516282571,70.3684038627536
04-Apr-2018 14:47:30,19.4901595762184,70.7771894475566
04-Apr-2018 14:47:40,19.9803155639338,71.1886927299617
04-Apr-2018 14:47:50,20.4692832890032,71.6029998546005
04-Apr-2018 14:48:00,20.9570198642135,72.0201930247558
04-Apr-2018 14:48:00,20.9570198642135,72.0201930247558
04-Apr-2018 14:48:10,21.4434875970945,72.4403605294821
04-Apr-2018 14:48:20,21.9286480403991,72.863591816332
04-Apr-2018 14:48:30,22.4124561339757,73.2899723483793
04-Apr-2018 14:48:40,22.8948718909425,73.7195938371991
04-Apr-2018 14:48:50,23.3758544903681,74.1525492094605
04-Apr-2018 14:49:00,23.8553564702979,74.5889273393907
04-Apr-2018 14:49:00,23.8553564702979,74.5889273393907
04-Apr-2018 14:49:10,24.3333353115792,75.0288235116145
04-Apr-2018 14:49:20,24.8097475770816,75.472334272589
04-Apr-2018 14:49:30,25.2845431607699,75.9195520211405
04-Apr-2018 14:49:40,25.7576767597192,76.3705757222959
04-Apr-2018 14:49:50,26.2291020645469,76.8255056293158
04-Apr-2018 14:50:00,26.6987660697379,77.2844377283523
04-Apr-2018 14:50:00,26.6987660697379,77.2844377283523
04-Apr-2018 14:50:10,27.1666204239343,77.7474747145104
04-Apr-2018 14:50:20,27.6326156765258,78.214720576519
04-Apr-2018 14:50:30,28.0966956549322,78.6862748742179
04-Apr-2018 14:50:40,28.5588086825955,79.1622440109165
04-Apr-2018 14:50:50,29.0189018871618,79.6427356566273
04-Apr-2018 14:51:00,29.4769156507963,80.1278528516107
