Sh1,Sh2_1,Sh2_2
04-Apr-2018 14:47:00,18.7518175079458,71.6391907641105
04-Apr-2018 14:47:10,19.2764101089454,72.0930770985232
04-Apr-2018 14:47:20,19.799888881968,72.5509028824007
04-Apr-2018 14:47:30,20.3222110913398,73.0128074950882
04-Apr-2018 14:47:40,20.8433393770589,73.4789396479478
04-Apr-2018 14:47:50,21.3632353711434,73.9494521361271
04-Apr-2018 14:48:00,21.8818533984305,74.4244962819451
04-Apr-2018 14:48:00,21.8818533984305,74.4244962819451
04-Apr-2018 14:48:10,22.3991529789615,74.9042335177109
04-Apr-2018 14:48:20,22.9150924785805,75.3888300246652
04-Apr-2018 14:48:30,23.4296228524343,75.8784510478061
04-Apr-2018 14:48:40,23.9427000441266,76.3732728567968
04-Apr-2018 14:48:50,24.4542786732644,76.8734772738272
04-Apr-2018 14:49:00,24.9643058250373,77.3792458467384
04-Apr-2018 14:49:00,24.9643058250373,77.3792458467384
04-Apr-2018 14:49:10,25.472733334446,77.8907722455235
04-Apr-2018 14:49:20,25.9795115133495,78.4082566795732
04-Apr-2018 14:49:30,26.4845829893686,78.9318999196765
04-Apr-2018 14:49:40,26.987894861966,79.4619161935717
04-Apr-2018 14:49:50,27.4893924712439,79.9985274932549
04-Apr-2018 14:50:00,27.9890132889134,80.5419574577656
04-Apr-2018 14:50:00,27.9890132889134,80.5419574577656
04-Apr-2018 14:50:10,28.4866989311645,81.0924448331423
04-Apr-2018 14:50:20,28.9823889706297,81.6502376869788
04-Apr-2018 14:50:30,29.4760148816462,82.2155871550193
04-Apr-2018 14:50:40,29.9675118919083,82.7887615752242
04-Apr-2018 14:50:50,30.456812837951,83.3700406240375
04-Apr-2018 14:51:00,30.9438421653335,83.9597089632238
