Su1,Su2_1,Su2_2
04-Apr-2018 14:47:00,5.91885638911771,41.9457526962751
04-Apr-2018 14:47:10,5.91890040722822,41.9040777257006
04-Apr-2018 14:47:20,5.91894442549295,41.8624025874644
04-Apr-2018 14:47:30,5.9189884435585,41.8207276169123
04-Apr-2018 14:47:40,5.91903246160127,41.7790526463687
04-Apr-2018 14:47:50,5.91907647979794,41.7373775081641
04-Apr-2018 14:48:00,5.91912049779575,41.6957025376437
04-Apr-2018 14:48:00,5.91912049779575,41.6957025376437
04-Apr-2018 14:48:10,5.91916451577077,41.6540275671317
04-Apr-2018 14:48:20,5.91920853390033,41.6123524289596
04-Apr-2018 14:48:30,5.91925255183008,41.5706774584701
04-Apr-2018 14:48:40,5.91929656973735,41.5290024879905
04-Apr-2018 14:48:50,5.91934058779885,41.4873273498493
04-Apr-2018 14:49:00,5.91938460566117,41.4456523793922
04-Apr-2018 14:49:00,5.91938460566117,41.4456523793922
04-Apr-2018 14:49:10,5.9194286235007,41.4039774089451
04-Apr-2018 14:49:20,5.91947264149476,41.3623022708354
04-Apr-2018 14:49:30,5.91951665928902,41.3206273004093
04-Apr-2018 14:49:40,5.9195606770608,41.2789523299939
04-Apr-2018 14:49:50,5.91960469498712,41.2372771919158
04-Apr-2018 14:50:00,5.91964871271394,41.1956022215213
04-Apr-2018 14:50:00,5.91964871271394,41.1956022215213
04-Apr-2018 14:50:10,5.91969273041797,41.1539272511375
04-Apr-2018 14:50:20,5.91973674827653,41.1122521130912
04-Apr-2018 14:50:30,5.91978076593529,41.0705771427283
04-Apr-2018 14:50:40,5.91982478357157,41.0289021723762
04-Apr-2018 14:50:50,5.91986880136239,40.9872270343615
04-Apr-2018 14:51:00,5.91991281895371,40.9455520640311
